DI	Length
TX1-INV1	375
TX1-INV2	210
TX1-INV3	180
TX1-INV4	320
TX1-INV5	150
TX1-INV6	190
TX1-INV7	190
TX1-INV8	220
TX1-INV9	250
TX1-INV10	330
TX1-INV11	220
TX1-INV12	190
TX1-INV13	170
TX1-INV14	120
TX1-INV15	25
TX1-INV16	175
TX1-INV17	70
TX1-INV18	200
TX1-INV19	170
TX1-INV20	320
TX1-INV21	170
TX1-INV22	275
TX1-INV23	85
TX1-INV24	60
TX1-INV25	235
TX2-INV1	210
TX2-INV2	245
TX2-INV3	150
TX2-INV4	210
TX2-INV5	260
TX2-INV6	350
TX2-INV7	210
TX2-INV8	25
TX2-INV9	235
TX2-INV10	70
TX2-INV11	360
TX2-INV12	100
TX2-INV13	132
TX2-INV14	435
TX2-INV15	180
TX2-INV16	335
TX2-INV17	20
TX2-INV18	260
TX2-INV19	55
TX2-INV20	300
TX2-INV21	90
TX2-INV22	350
TX2-INV23	155
TX2-INV24	290
TX3-INV1	315
TX3-INV2	380
TX3-INV3	300
TX3-INV4	340
TX3-INV5	115
TX3-INV6	305
TX3-INV7	370
TX3-INV8	240
TX3-INV9	325
TX3-INV10	200
TX3-INV11	270
TX3-INV12	145
TX3-INV13	215
TX3-INV14	110
TX3-INV15	165
TX3-INV16	30
TX3-INV17	185
TX3-INV18	65
TX3-INV19	320
TX3-INV20	380
TX3-INV21	265
TX3-INV22	370
TX3-INV23	205
TX3-INV24	310
TX4-INV1	370
TX4-INV2	330
TX4-INV3	315
TX4-INV4	300
TX4-INV5	395
TX4-INV6	255
TX4-INV7	375
TX4-INV8	190
TX4-INV9	315
TX4-INV10	125
TX4-INV11	255
TX4-INV12	150
TX4-INV13	280
TX4-INV14	200
TX4-INV15	335
TX4-INV16	260
TX4-INV17	185
TX4-INV18	295
TX4-INV19	140
TX4-INV20	200
TX4-INV21	85
TX4-INV22	170
TX4-INV23	35
TX4-INV24	195
TX4-INV25	90
TX4-INV26	245
TX4-INV27	145
TX5-INV1	160
TX5-INV2	122
TX5-INV3	85
TX5-INV4	38
TX5-INV5	45
TX5-INV6	70
TX5-INV7	85
TX5-INV8	120
TX5-INV9	160
TX5-INV10	190
TX5-INV11	228
TX5-INV12	165
TX5-INV13	110
TX5-INV14	80
TX5-INV15	40
TX5-INV16	40
TX5-INV17	80
TX5-INV18	195
TX5-INV19	135
TX5-INV20	255
TX5-INV21	180
TX5-INV22	290
TX5-INV23	240
TX5-INV24	350
TX5-INV25	298
TX5-INV26	370
TX6-INV1	375
TX6-INV2	320
TX6-INV3	315
TX6-INV4	270
TX6-INV5	260
TX6-INV6	180
TX6-INV7	200
TX6-INV8	325
TX6-INV9	175
TX6-INV10	330
TX6-INV11	180
TX6-INV12	265
TX6-INV13	80
TX6-INV14	30
TX6-INV15	45
TX6-INV16	80
TX6-INV17	105
TX6-INV18	140
TX6-INV19	180
TX6-INV20	210
TX6-INV21	110
TX6-INV22	170
TX6-INV23	220
TX6-INV24	275
TX6-INV25	330
TX6-INV26	365
